City,Latitude,Longitude,Vibe,Top_Food,Must_Visit_Spot,Region
香港,22.3193,114.1694,"中西合璧，璀璨夜景與金融中心","點心、燒鵝、奶茶","太平山、維多利亞港",亞洲
曼谷,13.7563,100.5018,"街頭活力，高CP值按摩與佛教文化","冬蔭功、泰式炒粉","大皇宮、鄭王廟",亞洲
東京,35.6895,139.6917,"極致秩序，動漫天堂與潮流聖地","壽司、拉麵、和牛","澀谷、淺草寺",亞洲
巴黎,48.8566,2.3522,"浪漫之都，藝術畫廊與咖啡文化","馬卡龍、油封鴨","艾菲爾鐵塔、羅浮宮",歐洲
倫敦,51.5074,-0.1278,"皇室優雅，歷史博物館與大笨鐘","炸魚薯條、下午茶","大英博物館、倫敦塔橋",歐洲
新加坡,1.3521,103.8198,"花園城市，科技與自然完美結合","海南雞飯、肉骨茶","濱海灣花園、魚尾獅",亞洲
紐約,40.7128,-74.0060,"大蘋果，不夜城，全球文化交匯處","紐約薄餅、芝士蛋糕","時代廣場、中央公園",美洲
杜拜,25.2048,55.2708,"奢華現代，世界第一高樓與沙漠冒險","阿拉伯烤肉、椰棗","哈里發塔、帆船酒店",中東
羅馬,41.9028,12.4964,"永恆之城，古羅馬建築與歷史博物館","培根蛋麵、Gelato","競技場、許願池",歐洲
巴塞隆拿,41.3851,2.1734,"建築奇蹟，地中海陽光與藝術氛圍","海鮮燉飯、Tapas","聖家堂、奎爾公園",歐洲
首爾,37.5665,126.9780,"K-Pop 聖地，美妝購物與現代生活","韓式烤肉、拌飯","景福宮、明洞",亞洲
台北,25.0330,121.5654,"熱情好客，夜市文化與便利生活","牛肉麵、小籠包","101大樓、九份",亞洲
大阪,34.6937,135.5023,"天下之廚房，關西熱情與環球影城","章魚燒、大阪燒","道頓堀、大阪城",亞洲
京都,35.0116,135.7681,"千年古都，和服體驗與禪意寺廟","懷石料理、抹茶","清水寺、伏見稻荷",亞洲
雪梨,-33.8688,151.2093,"海灣之美，戶外生活與標誌性歌劇院","澳洲和牛、海鮮","雪梨歌劇院、邦代海灘",大洋洲
阿姆斯特丹,52.3676,4.9041,"運河之城，自由奔放與博物館之旅","生醃鯡魚、荷蘭煎餅","梵谷博物館、安妮之家",歐洲
威尼斯,45.4408,12.3155,"水上明珠，獨特的貢多拉體驗","墨魚麵、提拉米蘇","聖馬可廣場、大運河",歐洲
